Top DEVCoin (DEV) addresses as of block 409105

Address	Amount	Last deposit block	Last deposit timestamp	Last withdrawal block	Last withdrawal timestamp
LQwVCiEoDjgb6c5oK6QZWgNLeK6JEXqxur	847232.90076114	332817	2018-07-24 00:18:01	306967	2018-07-04 20:41:22
LZcTCf3VG4VC9xbjYMXJeCbFDtzUcic41t	324662.5897967	407494	2018-09-17 09:32:09	407494	2018-09-17 09:32:09
LhrSsCHkcyu4nP5pb1pV395PRC38FvUckR	244999.9999	24233	2017-10-27 03:09:46	-	-
LVfn9yjwarsjLfgEbB9tCwNzuaLtwD3dUm	209978.6090039	407495	2018-09-17 09:32:31	407495	2018-09-17 09:32:31
LXceHCAYzo9RXgbKNrh2RfGR1PWCcVnnAb	197326.5999804	407496	2018-09-17 09:32:53	407496	2018-09-17 09:32:53
LdrNiTiVa8F9d4haT3SQ7CergzpXVhv3c3	50000.85	318202	2018-07-13 04:44:41	342319	2018-07-31 01:03:54
LLj1BPa6NfUjC4QTuj9CHEo1p6PmXcGdzx	40680.85641227	409105	2018-09-18 14:09:15	409105	2018-09-18 14:09:15
LVzEV2g7nvtw4pZHn3GvKDP4HyFj92HTu3	33810.2371529	409047	2018-09-18 13:06:41	409047	2018-09-18 13:06:41
LeSKjz5pvmSAJ4s3Xdbfi8zyYfecn5FABM	33050.83733297	409086	2018-09-18 13:47:10	409086	2018-09-18 13:47:10
LaZ1bdRKixR6nyKz4Qb2HsqCG8cQTRtztJ	23124.150005	409058	2018-09-18 13:18:51	409058	2018-09-18 13:18:51
LY7fpxgSUnMY8hkK9sfwwzgyAdnNc1WJjx	22506.00056519	408728	2018-09-18 07:29:37	408728	2018-09-18 07:29:37
LZ7Ur3nW1mgmSEaEHGTfR5NR5nfWFP5G8M	20682.9400049	409102	2018-09-18 14:07:41	409102	2018-09-18 14:07:41
LZwrqgsqe3bZb6TwHhpUJqGtTt3FLrrs1e	20000.0	188528	2018-02-22 22:10:56	-	-
LM5U95h8ZLqhnSYLN5H9Mnep13okHpX6oE	20000.0	188510	2018-02-22 21:38:39	-	-
LSoEH67usBir8h2tvU7GCarqMMg6zzpfun	20000.0	188503	2018-02-22 21:20:23	-	-
LWvE8GkjuX1vVp9RGg78oz7Sw7mTbXeKfJ	20000.0	188497	2018-02-22 21:10:16	-	-
LZb9nat2f5CEVR3CMecnxrovivBBcVXkJy	18580.8	409094	2018-09-18 13:55:51	-	-
LiBFYRhJeWweTpStVsJuRqgotwq1wBEPQw	18525.8	409056	2018-09-18 13:17:37	-	-
LfSFAv6UwDmEhiddvyQCvTrPBy8EnkrnA4	18314.0	408732	2018-09-18 07:34:06	-	-
LhDs3Z9SfQ8DL9BhFcEpX5bMzpGNLpCENv	18248.0	409004	2018-09-18 12:19:58	-	-
LNccGtjBDnsN5a9vTyBye5sMqdY9Bju1qj	18085.00606202	409070	2018-09-18 13:30:05	366708	2018-08-18 05:22:01
LNnU1N8R6ZYFYKmnSHg2YetCTdtpzEEpcf	17936.38320287	373307	2018-08-23 02:29:39	373307	2018-08-23 02:29:39
